序号,标题,问题
1,用户的学习经验,您平时的学习任务是否繁重
2,用户的学习经验,在日常学习过程（不限于 B 站），您通常习惯或偏好通过哪些方式或渠道来获取新知识、学习新技能
3,用户的学习经验,为什么偏好这种方式
4,用户的学习经验, 您对学习新事物通常抱有什么样的态度？
5,bilibili基本经验,您是什么时候开始使用 B 站的？
6,bilibili基本经验,最初主要是用它来做什么呢？
7,bilibili基本经验,现在您每天大概会花多长时间在 B 站上
8,bilibili基本经验, 主要会看哪些方面的内容呢？
9,bilibili基本经验,相对于其他内容，学习的内容占比例有多少
10,bilibili学习经历,您是什么时候开始有意识地使用 B 站进行学习的？
11,bilibili学习经历,您通常会在 B 站上学习哪些类型的知识或技能？
12,bilibili学习经历,您一般在什么情况下会选择使用 B 站来学习？
13,bilibili学习经历,能描述一个您最近使用 B 站学习的具体场景吗？
14,bilibili学习经历,当您想在 B 站学习某个主题时，您通常是如何找到相关的视频或 UP 主的？
15,bilibili学习经历,哪些因素对您的选择视频影响最大
16,bilibili学习经历,在 B 站学习时，您有哪些常用的功能或习惯？
17,bilibili选择动机,与其他学习途径（如学校课堂、教材、MOOC、专业教育平台、其他视频网站等）相比，您为什么会选择 B 站进行学习？
18,bilibili选择动机, 对于不同类型的学习内容或学习目标，什么时候会首选 B 站，什么时候会选择其他途径
19,bilibili选择动机,在您的整体学习过程中，B 站扮演着一个什么样的角色？
20,bilibili学习价值,B 站的学习内容对您的理解力、知识面或思维方式等有带来什么积极影响吗
21,bilibili学习价值,在 B 站学习通常会给您带来什么样的感受？
22,bilibili学习价值,用几个关键词概括B站学习的价值
23,bilibili使用总结,在使用B站学习的过程中，你是否也遇到一些困扰或不足之处？
24,bilibili使用总结,对于 B 站作为学习平台，您有什么期望或建议吗？（比如希望增加哪些功能，或者内容方面有什么期待 ）
,,
